run_id,status,result,dataset,model,embedding,n_Gain,n_Start,run,last_cycle
PHOT_blosum90_linear_nGain10_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run3,finished,failure,PHOT,linear,blosum90,10,3000,3,14
RASK_georgiev_lightgbm_nGain10_nStart500_ddG_top_start0.15_nCycles40_normedScores_run8,finished,failure,RASK,lightgbm,georgiev,10,500,8,22
PHOT_blosum90_fnn_nGain100_nStart500_ddG_top_start0.15_nCycles40_normedScores_run3,finished,failure,PHOT,fnn,blosum90,100,500,3,22
YAP1_blosum90_fnn_nGain100_nStart100_ddG_top_start0.15_nCycles40_normedScores_run5,finished,success,YAP1,fnn,blosum90,100,100,5,6
PHOT_one_hot_lightgbm_nGain50_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run1,finished,failure,PHOT,lightgbm,one_hot,50,3000,1,10
PHOT_blosum50_svr_nGain50_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run9,running,open,PHOT,svr,blosum50,50,3000,9,4
GFP_georgiev_rf_nGain100_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run1,finished,success,GFP,rf,georgiev,100,3000,1,1
YAP1_blosum90_elastic_net_nGain20_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run5,finished,failure,YAP1,elastic_net,blosum90,20,1000,5,14
RASK_georgiev_lightgbm_nGain100_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run10,finished,success,RASK,lightgbm,georgiev,100,3000,10,7
PHOT_georgiev_fnn_nGain50_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run6,finished,failure,PHOT,fnn,georgiev,50,3000,6,16
YAP1_one_hot_linear_nGain100_nStart500_ddG_top_start0.15_nCycles40_normedScores_run2,finished,success,YAP1,linear,one_hot,100,500,2,1
PHOT_blosum90_linear_nGain10_nStart500_ddG_top_start0.15_nCycles40_normedScores_run9,finished,failure,PHOT,linear,blosum90,10,500,9,19
YAP1_blosum50_svr_nGain100_nStart100_ddG_top_start0.15_nCycles40_normedScores_run1,finished,success,YAP1,svr,blosum50,100,100,1,3
RASK_one_hot_elastic_net_nGain20_nStart200_ddG_top_start0.15_nCycles40_normedScores_run7,finished,failure,RASK,elastic_net,one_hot,20,200,7,14
PHOT_georgiev_elastic_net_nGain100_nStart500_ddG_top_start0.15_nCycles40_normedScores_run2,finished,success,PHOT,elastic_net,georgiev,100,500,2,8
YAP1_blosum50_linear_nGain10_nStart100_ddG_top_start0.15_nCycles40_normedScores_run6,finished,failure,YAP1,linear,blosum50,10,100,6,15
RASK_one_hot_elastic_net_nGain50_nStart500_ddG_top_start0.15_nCycles40_normedScores_run6,finished,failure,RASK,elastic_net,one_hot,50,500,6,28
GFP_blosum50_lightgbm_nGain100_nStart100_ddG_top_start0.15_nCycles40_normedScores_run6,finished,success,GFP,lightgbm,blosum50,100,100,6,3
YAP1_blosum90_svr_nGain10_nStart500_ddG_top_start0.15_nCycles40_normedScores_run2,finished,failure,YAP1,svr,blosum90,10,500,2,10
YAP1_georgiev_linear_nGain20_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run7,finished,failure,YAP1,linear,georgiev,20,3000,7,10
RASK_blosum50_elastic_net_nGain100_nStart100_ddG_top_start0.15_nCycles40_normedScores_run3,finished,success,RASK,elastic_net,blosum50,100,100,3,4
YAP1_blosum90_lightgbm_nGain50_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run1,finished,failure,YAP1,lightgbm,blosum90,50,1000,1,22
RASK_blosum50_linear_nGain50_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run2,finished,failure,RASK,linear,blosum50,50,3000,2,12
PHOT_blosum50_svr_nGain10_nStart200_ddG_top_start0.15_nCycles40_normedScores_run8,finished,failure,PHOT,svr,blosum50,10,200,8,16
GFP_blosum90_elastic_net_nGain10_nStart200_ddG_top_start0.15_nCycles40_normedScores_run5,finished,success,GFP,elastic_net,blosum90,10,200,5,20
PHOT_blosum90_fnn_nGain10_nStart200_ddG_top_start0.15_nCycles40_normedScores_run6,finished,failure,PHOT,fnn,blosum90,10,200,6,10
RASK_georgiev_linear_nGain10_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run8,finished,failure,RASK,linear,georgiev,10,3000,8,11
GFP_georgiev_linear_nGain20_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run5,finished,success,GFP,linear,georgiev,20,1000,5,11
RASK_georgiev_elastic_net_nGain20_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run4,finished,failure,RASK,elastic_net,georgiev,20,1000,4,17
GFP_one_hot_lightgbm_nGain100_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run9,finished,success,GFP,lightgbm,one_hot,100,3000,9,1
GFP_blosum90_fnn_nGain20_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run9,finished,failure,GFP,fnn,blosum90,20,1000,9,10
YAP1_one_hot_lightgbm_nGain10_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run8,finished,success,YAP1,lightgbm,one_hot,10,3000,8,1
YAP1_blosum90_elastic_net_nGain10_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run3,finished,success,YAP1,elastic_net,blosum90,10,1000,3,2
RASK_one_hot_elastic_net_nGain20_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run9,finished,failure,RASK,elastic_net,one_hot,20,1000,9,10
GFP_blosum90_svr_nGain50_nStart100_ddG_top_start0.15_nCycles40_normedScores_run4,finished,success,GFP,svr,blosum90,50,100,4,2
PHOT_blosum90_linear_nGain20_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run5,finished,failure,PHOT,linear,blosum90,20,3000,5,19
PHOT_blosum50_lightgbm_nGain100_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run4,finished,failure,PHOT,lightgbm,blosum50,100,1000,4,10
PHOT_blosum90_fnn_nGain20_nStart100_ddG_top_start0.15_nCycles40_normedScores_run5,finished,failure,PHOT,fnn,blosum90,20,100,5,17
GFP_blosum90_elastic_net_nGain20_nStart100_ddG_top_start0.15_nCycles40_normedScores_run6,finished,success,GFP,elastic_net,blosum90,20,100,6,9
YAP1_blosum90_rf_nGain100_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run2,finished,success,YAP1,rf,blosum90,100,3000,2,1
YAP1_georgiev_rf_nGain50_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run4,finished,success,YAP1,rf,georgiev,50,3000,4,27
PHOT_blosum90_rf_nGain100_nStart500_ddG_top_start0.15_nCycles40_normedScores_run5,finished,failure,PHOT,rf,blosum90,100,500,5,35
PHOT_blosum90_elastic_net_nGain100_nStart200_ddG_top_start0.15_nCycles40_normedScores_run6,finished,failure,PHOT,elastic_net,blosum90,100,200,6,22
PHOT_blosum50_elastic_net_nGain10_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run10,finished,failure,PHOT,elastic_net,blosum50,10,1000,10,10
